symbol,timestamp,open,high,low,close,volume,amount,source_freq
600519.SH,2026-06-26 13:30:00,1181.26,1184.0,1181.19,1183.0,52042,61537132.0,5min
600519.SH,2026-06-26 13:35:00,1183.59,1184.02,1181.26,1181.69,37000,43749093.0,5min
600519.SH,2026-06-26 13:40:00,1181.7,1181.98,1180.0,1180.12,49924,58961181.0,5min
600519.SH,2026-06-26 13:45:00,1180.12,1180.33,1179.0,1179.78,47376,55901210.0,5min
600519.SH,2026-06-26 13:50:00,1179.0,1179.99,1178.0,1178.99,59300,69900664.0,5min
600519.SH,2026-06-26 13:55:00,1178.99,1181.0,1177.3,1178.39,59880,70568187.0,5min
600519.SH,2026-06-26 14:00:00,1178.39,1179.49,1178.0,1178.86,38400,45262300.0,5min
600519.SH,2026-06-26 14:05:00,1178.71,1179.42,1178.0,1178.12,35214,41511167.0,5min
600519.SH,2026-06-26 14:10:00,1178.12,1178.23,1176.1,1176.17,51200,60271395.0,5min
600519.SH,2026-06-26 14:15:00,1176.17,1176.22,1175.54,1175.6,51600,60674910.0,5min
600519.SH,2026-06-26 14:20:00,1175.54,1177.29,1175.54,1176.47,43110,50706900.0,5min
600519.SH,2026-06-26 14:25:00,1176.46,1176.46,1176.1,1176.12,35900,42226192.0,5min
600519.SH,2026-06-26 14:30:00,1176.12,1176.46,1175.68,1175.68,51640,60736889.0,5min
600519.SH,2026-06-26 14:35:00,1175.68,1178.0,1175.66,1176.99,58760,69151722.0,5min
600519.SH,2026-06-26 14:40:00,1176.98,1178.0,1174.01,1174.86,158200,185977456.0,5min
600519.SH,2026-06-26 14:45:00,1174.0,1174.98,1173.91,1174.29,73000,85727716.0,5min
600519.SH,2026-06-26 14:50:00,1174.4,1174.4,1171.8,1171.82,136000,159477779.0,5min
600519.SH,2026-06-26 14:55:00,1171.8,1171.8,1170.01,1170.05,188500,220639909.0,5min
600519.SH,2026-06-26 15:00:00,1170.3,1170.3,1168.16,1168.63,211660,247505798.0,5min
600519.SH,2026-06-29 09:35:00,1169.0,1170.0,1153.01,1153.01,464441,538218058.0,5min
600519.SH,2026-06-29 09:40:00,1153.0,1159.61,1152.99,1154.18,200398,231809568.0,5min
600519.SH,2026-06-29 09:45:00,1154.1,1157.8,1152.8,1153.05,173800,200705376.0,5min
600519.SH,2026-06-29 09:50:00,1153.1,1159.1,1151.04,1157.7,186260,214945838.0,5min
600519.SH,2026-06-29 09:55:00,1157.8,1164.0,1154.55,1161.84,132200,153207089.0,5min
600519.SH,2026-06-29 10:00:00,1162.38,1170.0,1161.41,1166.5,210025,245057904.0,5min
600519.SH,2026-06-29 10:05:00,1166.55,1175.8,1163.99,1173.16,242416,283704004.0,5min
600519.SH,2026-06-29 10:10:00,1173.5,1181.79,1170.25,1180.1,422730,497987716.0,5min
600519.SH,2026-06-29 10:15:00,1181.2,1183.71,1178.0,1178.0,302975,358052993.0,5min
600519.SH,2026-06-29 10:20:00,1179.5,1203.0,1178.68,1197.02,538687,643040049.0,5min
600519.SH,2026-06-29 10:25:00,1197.04,1201.9,1194.44,1201.0,223392,267706004.0,5min
600519.SH,2026-06-29 10:30:00,1200.8,1205.03,1198.29,1201.31,312688,375942638.0,5min
