symbol,name,industry,is_cycle_stock,notes,total_mv,circ_mv,amount,list_date,list_days,asof_date,universe_method,bias_notes
301611.SZ,珂玛科技,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,6558300.0,2204900.0,2575255.075,20240816,678,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
601168.SH,西部矿业,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,6536600.0,6536600.0,2056737.8099999998,20070712,6923,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
688300.SH,联瑞新材,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,6519400.000000001,6519400.000000001,3009744.0480000004,20191115,2414,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
301396.SZ,宏景科技,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,6512200.0,4287700.0,5066664.741,20221111,1322,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
600418.SH,江淮汽车,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,6492000.0,6289900.0,1783431.028,20010824,9071,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
605376.SH,博迁新材,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,6457300.0,6457300.0,1830191.096,20201208,2025,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
300782.SZ,卓胜微,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,6400800.0,4989900.0,3827476.313,20190618,2564,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
688036.SH,传音控股,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,6394800.0,6394800.0,933934.372,20190930,2460,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
002653.SZ,海思科,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,6394700.0,3065000.0,496205.978,20120117,5273,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
000157.SZ,中联重科,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,6348000.0,5189100.0,584187.113,20001012,9387,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
601360.SH,三六零,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,6264600.0,6264600.0,743524.381,20120116,5274,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
000426.SZ,兴业银锡,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,6264400.000000001,6262900.0,3177914.2180000003,19960828,10893,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
600879.SH,航天电子,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,6252200.0,6252200.0,2275345.677,19951115,11180,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
